"name";"permission";"help"
"instance setbossstate";"795";"Syntax: .instance setbossstate $bossId $encounterState [$Name]
Sets the EncounterState for the given boss id to a new value. EncounterStates range from 0 to 5.
If no character name is provided, the current map will be used as target."
"instance getbossstate";"796";"Syntax: .instance getbossstate $bossId [$Name]
Gets the current EncounterState for the provided boss id.
If no character name is provided, the current map will be used as target."
"bnetaccount link";"214";"Syntax: .bnetaccount link $email $login
Links battle.net account ($email) to an existing game account ($login)."
"bnetaccount unlink";"215";"Syntax: .bnetaccount unlink $gameaccount $password
Removes battle.net account link from $gameaccount"
"bnetaccount gameaccountcreate";"216";"Syntax: .bnetaccount gameaccountcreate $account
Create additional game account for specified battle.net account."
"modify xp";"798";"Syntax: .modify xp #xp

Gives experience points to the targeted player or self."
"pvpstats";"797";"Shows number of battleground victories in the last 7 days"
"ticket bug closedlist";"807";"Usage: Displays a list of closed bug tickets."
"ticket bug comment";"808";"Usage: .ticket bug comment $ticketid $comment.
Allows the adding or modifying of a comment to the specified ticket."
"ticket bug delete";"809";"Usage: .ticket bug delete $ticketid.
Deletes the specified ticket permanently. Ticket must be closed first."
"ticket bug list";"810";"Usage: Displays a list of open bug tickets."
"ticket bug unassign";"811";"Usage: .ticket bug unassign $ticketid.
Unassigns the specified ticket from the current assigned Game Master."
"ticket bug view";"812";"Usage: .ticket bug view $ticketid.
Returns details about specified ticket. Ticket must be open and not deleted."
"ticket complaint assign";"813";"Usage: .ticket complaint assign $ticketid $gmname.
Assigns the specified ticket to the specified Game Master."
"ticket complaint close";"814";"Usage: .ticket complaint close $ticketid.
Closes the specified ticket. Does not delete permanently."
"ticket complaint closedlist";"815";"Usage: Displays a list of closed complaint tickets."
"ticket complaint comment";"816";"Usage: .ticket complaint comment $ticketid $comment.
Allows the adding or modifying of a comment to the specified ticket."
"ticket complaint delete";"817";"Usage: .ticket complaint delete $ticketid.
Deletes the specified ticket permanently. Ticket must be closed first."
"ticket complaint list";"818";"Usage: Displays a list of open complaint tickets."
"ticket complaint unassign";"819";"Usage: .ticket complaint unassign $ticketid.
Unassigns the specified ticket from the current assigned Game Master."
"ticket complaint view";"820";"Usage: .ticket complaint view $ticketid.
Returns details about specified ticket. Ticket must be open and not deleted."
"ticket suggestion assign";"821";"Usage: .ticket suggestion assign $ticketid $gmname.Assigns the specified ticket to the specified Game Master."
"ticket suggestion close";"822";"Usage: .ticket suggestion close $ticketid.
Closes the specified ticket. Does not delete permanently."
"ticket suggestion closedlist";"823";"Usage: Displays a list of closed suggestion tickets."
"ticket suggestion comment";"824";"Usage: .ticket suggestion comment $ticketid $comment.
Allows the adding or modifying of a comment to the specified ticket."
"ticket suggestion delete";"825";"Usage: .ticket suggestion delete $ticketid.
Deletes the specified ticket permanently. Ticket must be closed first."
"ticket suggestion list";"826";"Usage: Displays a list of open suggestion tickets."
"ticket suggestion unassign";"827";"Usage: .ticket suggestion unassign $ticketid.
Unassigns the specified ticket from the current assigned Game Master."
"ticket suggestion view";"828";"Usage: .ticket suggestion view $ticketid.
Returns details about specified ticket. Ticket must be open and not deleted."
"ticket reset all";"829";"Usage: Removes all closed tickets and resets the counter, if no pending open tickets exist."
"ticket reset bug";"831";"Usage: Removes all closed bug tickets and resets the counter, if no pending open tickets exist."
"ticket reset complaint";"832";"Usage: Removes all closed complaint tickets and resets the counter, if no pending open tickets exist."
"ticket reset suggestion";"833";"Usage: Removes all closed suggestion tickets and resets the counter, if no pending open tickets exist."
"scene";"844";""
"scene debug";"845";"Syntax: .scene debug
Toggle debug mode for scenes. In debug mode GM will be notified in chat when scenes start/stop/trigger event"
"go quest";"834";"Syntax: .go quest #quest_id

Teleport your character to first quest poi with id #quest_id."
"debug loadcells";"835";"Syntax: .debug loadcells [mapId]
Loads all cells for debugging purposes"
"debug boundary";"836";"Syntax: .debug boundary [fill] [duration]
Flood fills the targeted unit's movement boundary and marks the edge of said boundary with debug creatures.
Specify 'fill' as first parameter to fill the entire area with debug creatures."
"debug raidreset";"414";"Syntax: .debug raidreset mapid [difficulty]
Forces a global reset of the specified map on all difficulties (or only the specific difficulty if specified). Effectively the same as setting the specified map's reset timer to now."
"server shutdown force";"839";"Syntax: .server shutdown [force] #delay [#exit_code] [reason]

Shut the server down after #delay seconds. Use #exit_code or 0 as program exit code. Specify 'force' to allow short-term shutdown despite other players being connected."
"server restart force";"840";"Syntax: .server restart [force] #delay [#exit_code] [reason]

Restart the server after #delay seconds. Use #exit_code or 2 as program exit code. Specify 'force' to allow short-term shutdown despite other players being connected."
"npc add temp";"575";"Syntax: .npc add temp [loot/noloot] #entry
Adds temporary NPC, not saved to database.
  Specify 'loot' to have the NPC's corpse stick around for some time after death, allowing it to be looted.
  Specify 'noloot' to have the corpse disappear immediately."
"npc evade";"837";"Syntax: .npc evade [reason] [force]
Makes the targeted NPC enter evade mode.
Defaults to specifying EVADE_REASON_OTHER, override this by providing the reason string (ex.: .npc evade EVADE_REASON_BOUNDARY).
Specify 'force' to clear any pre-existing evade state before evading - this may cause weirdness, use at your own risk."
"pet level";"838";"Syntax: .pet level #dLevel
Increases/decreases the pet's level by #dLevel. Pet's level cannot exceed the owner's level."
"debug neargraveyard";"841";"Syntax: .debug neargraveyard [linked]
Find the nearest graveyard from dbc or db (if linked)"
"scene play";"846";"Syntax: .scene play #sceneId
Plays scene with id for targeted player"
"scene playpackage";"847";"Syntax: .scene playpackage #scenePackageId #playbackFlags
Plays scene with package id and playback flags for targeted player"
"scene cancel";"848";"Syntax: .scene cancel #scenePackageId
Cancels scene with package id for targeted player"
"list scenes";"849";"Syntax: .list scenes
List of all active scenes for targeted character."
"reload scene_template";"850";"Syntax: .reload scene_template
Reload scene_template table."
"bnetaccount listgameaccounts";"830";"Syntax: .bnetaccount listgameaccounts $email $password
Lists all game accounts linked to battle.net $email"
"rbac";"200";"Syntax: bf $subcommand
 Type .rbac to see a list of possible subcommands
 or .help bf $subcommand to see info on the subcommand."
"rbac account";"201";"Syntax: rbac account $subcommand
 Type .rbac account to see a list of possible subcommands
 or .help rbac account $subcommand to see info on the subcommand."
"account lock";"221";"Syntax: .account lock [on|off]

 Allow login from account only from current used IP or remove this requirement."
"arena";"232";"Syntax: arena $subcommand
 Type .arena to see a list of possible subcommands
 or .help arena $subcommand to see info on the subcommand."
"unban playeraccount";"256";"Syntax: "
"bf";"257";"Syntax: bf $subcommand
 Type .bf to see a list of possible subcommands
 or .help bf $subcommand to see info on the subcommand."
"account set sec";"264";"Syntax: "
"character";"273";"Syntax: character $subcommand
 Type .character to see a list of possible subcommands
 or .help character $subcommand to see info on the subcommand."
"character deleted";"277";"Syntax: character deleted $subcommand
 Type .character deleted to see a list of possible subcommands
 or .help character deleted $subcommand to see info on the subcommand."
"debug anim";"301";"Syntax: "
"debug entervehicle";"305";"Syntax: "
"debug getitemstate";"306";"Syntax: "
"debug combat";"309";"Syntax: .debug combat

Lists the target's (or own) combat references."
"debug itemexpire";"310";"Syntax: "
"debug lootrecipient";"311";"Syntax: "
"debug los";"312";"Syntax: "
"debug play";"315";"Syntax: "
"debug send";"319";"Syntax: "
"debug send buyerror";"320";"Syntax: "
"debug send channelnotify";"321";"Syntax: "
"debug send chatmessage";"322";"Syntax: "
"debug send equiperror";"323";"Syntax: "
"debug send largepacket";"324";"Syntax: "
"debug send opcode";"325";"Syntax: "
"debug send qinvalidmsg";"326";"Syntax: "
"debug send qpartymsg";"327";"Syntax: "
"debug send sellerror";"328";"Syntax: "
"debug send setphaseshift";"329";"Syntax: "
"debug send spellfail";"330";"Syntax: "
"debug setaurastate";"331";"Syntax: "
"debug setvid";"335";"Syntax: "
"debug spawnvehicle";"336";"Syntax: "
"debug threat";"337";"Syntax: .debug threat

Lists the units threatened by target (or self). If target has a threat list, lists that threat list, too."
"debug worldstate";"339";"Syntax: debug worldstate $stateId $value

Sends a world state update for the specified state to your client."
"deserter";"341";"Syntax: deserter $subcommand
 Type .deserter to see a list of possible subcommands
 or .help deserter $subcommand to see info on the subcommand."
"deserter bg";"342";"Syntax: "
"deserter instance";"345";"Syntax: "
"disable";"348";"Syntax: disable $subcommand
 Type .disable to see a list of possible subcommands
 or .help disable $subcommand to see info on the subcommand."
"disable add";"349";"Syntax: "
"disable remove";"358";"Syntax: "
"gobject set";"395";"Syntax: "
"gobject set state";"397";"Syntax: "
"learn all";"418";"Syntax: "
"learn all my";"419";"Syntax: "
"lfg";"430";"Syntax: lfg $subcommand
 Type .lfg to see a list of possible subcommands
 or .help lfg $subcommand to see info on the subcommand."
"lookup player";"451";"Syntax: "
"channel";"463";"Syntax: channel $subcommand
 Type .channel to see a list of possible subcommands
 or .help channel $subcommand to see info on the subcommand."
"channel set";"464";"Syntax: "
"send";"483";"Syntax: send $subcommand
 Type .send to see a list of possible subcommands
 or .help send $subcommand to see info on the subcommand."
"npc set";"580";"Syntax: "
"npc near";"594";"Syntax: "
"npc tame";"601";"Syntax: "
"mutehistory";"632";"Syntax: "
"reload achievement_reward_locale";"657";"Syntax: .reload achievement_reward_locale
Reload achievement_reward_locale table."
"reload npc_spellclick_spells";"671";"Syntax: "
"server set";"729";"Syntax: "
"server set difftime";"731";"Syntax: "
"ticket togglesystem";"757";"Syntax: "
"titles";"761";"Syntax: "
"titles set";"765";"Syntax: "
"wp";"767";"Syntax: wp $subcommand
 Type .wp to see a list of possible subcommands
 or .help wp $subcommand to see info on the subcommand."
"wp modify";"771";"Syntax: "
"ahbot";"778";"Syntax: ahbot $subcommand
 Type .ahbot to see a list of possible subcommands
 or .help ahbot $subcommand to see info on the subcommand."
"debug conversation";"854";"Syntax: .debug conversation $conversationId
Play given conversation."
"reload conversation_template";"853";"Syntax: .reload conversation_template
Reload conversation tables."
"modify power";"868";"Syntax: .modify power #powerType #amount 

Modify the power of the selected player. If no player is selected, modify your power."
"debug send playerchoice";"869";"Syntax: .debug send playerchoice $choiceId
Send given choice to player."
"server debug";"872";"Syntax: .server debug

Shows detailed information about server setup, useful when reporting a bug"
"debug play music";"855";"Syntax: .debug play music #musicId
Play music with #musicId.
Music will be played only for you. Other players will not hear this."
"account set seclevel";"228";"Syntax: .account set seclevel [$accountName] #level [#realmID]

Set the security level for targeted player (can't be used at self) or for account $accountName to a level of #level on the realm #realmID.

#level may range from 0 to 3.

#realmID - Default: -1 for all realms."
"group set assistant";"862";"Syntax: .group set assistant [$characterName]

Toggles the given character's assistant state in his raid group."
"group set maintank";"863";"Syntax: .group set maintank [$characterName]

Toggles the given character's main tank flag in his raid group."
"group set mainassist";"864";"Syntax: .group set mainassist [$characterName]

Toggles the given character's main assist flag in his raid group."
"npc showloot";"865";"Syntax: .npc showloot [all]

Shows the loot contained in targeted dead creature."
"npc spawngroup";"856";"Syntax: .npc spawngroup $groupId [ignorerespawn] [force]"
"npc despawngroup";"857";"Syntax: .npc despawngroup $groupId [removerespawntime]"
"gobject spawngroup";"858";"Syntax: .gobject spawngroup $groupId [ignorerespawn] [force]"
"gobject despawngroup";"859";"Syntax: .gobject despawngroup $groupId [removerespawntime]"
"list respawns";"860";"Syntax: .list respawns [distance]

Lists all pending respawns within <distance> yards, or within current zone if not specified."
"list spawnpoints";"866";"Syntax: .list spawnpoints

Lists all spawn points (both creatures and GOs) in the current zone."
"event";"367";"Syntax: .event #event_id
Show details about event with #event_id."
"go";"377";"Syntax: .go $subcommand
Type .go to see the list of possible subcommands or .help go $subcommand to see info on subcommands"
"maxskill";"513";"Syntax: .maxskill
Sets all skills of the targeted player to their maximum values for its current level."
"reload locales_creature";"658";"Syntax: .reload locales_creature
Reload locales_creature table."
"reload locales_gameobject";"660";"Syntax: .reload locales_gameobject
Reload locales_gameobject table."
"reload locales_page_text";"665";"Syntax: .reload locales_page_text
Reload locales_page_text table."
"reload locales_points_of_interest";"666";"Syntax: .reload locales_points_of_interest
Reload locales_point_of_interest table."
"reload creature_onkill_reward";"635";"Syntax: .reload creature_onkill_reward 
Reload creature_onkill_reward table."
"reload locales_gossip_menu_option";"661";"Syntax: .reload locales_gossip_menu_option
Reload locales_gossip_menu_option table."
"reload locales_creature_text";"659";"Syntax: .reload locales_creature_text
Reload locales_creature_text Table."
"movie";"873";"Syntax: .movie"
"movie play";"874";"Syntax: .movie play id"
"debug movementforce apply";"2001";"Syntax: .debug movementforce apply #magnitude #destinationX #destinationY #destinationZ
Apply movement force to target"
"debug movementforce";"2000";""
"debug movementforce remove";"2002";"Syntax: .debug movementforce remove
Remove movement force from target"
"list quests";"2003";"Syntax: .list quests
List of all active quests for targeted character."
"npc reload";"2006";"Syntax: .npc reload [all]

Reloads selected creature or all same creatures in vision range if #all argument is provided
Respawns creature, reloads it's template, addon, aura, ai/script, etc data
Note: it does not reload smart_scripts table"
"reload spell_script_names";"2009";"Syntax: .reload spell_script_names"
"modify credit";"2012";"Syntax: .modify credit #credit

Modify the credit of the battlepay."
